year	a	b	c	d	e	f	g	h	Community	gdp
1996-97   Q1	828.06	65.41	545.33	85.16	145.29	638.10	399.96	352.41	3059.27
1996-97   Q2	643.34	68.25	546.14	84.56	151.02	634.78	414.81	359.16	2901.54
1996-97   Q3	1209.87	75.67	563.35	88.42	155.18	743.01	421.99	377.75	3633.96
1996-97   Q4	970.89	83.73	607.83	90.50	171.77	766.06	445.87	559.93	3703.81
1997-98   Q1	911.98	87.76	561.37	99.23	180.98	737.64	459.33	383.06	3418.45
1997-98   Q2	702.57	77.60	569.49	101.36	181.42	722.55	462.88	404.89	3221.28
1997-98   Q3	1253.18	89.55	594.62	101.51	198.46	851.25	478.30	433.35	3998.60
1997-98   Q4	1007.83	98.60	627.73	107.81	213.26	877.78	515.54	692.68	4149.94
1998-99   Q1	1000.80	78.94	610.89	127.10	218.68	839.14	525.90	486.89	3885.84
1998-99   Q2	800.33	86.95	623.62	121.28	216.96	843.72	539.87	563.53	3797.32
1998-99   Q3	1499.59	102.88	642.28	122.28	231.83	972.01	567.96	538.75	4674.44
1998-99   Q4	1150.27	108.66	691.53	136.54	248.95	997.44	599.99	750.17	4689.58
1999-00   Q1	1128.85	108.94	641.08	117.91	248.68	931.96	629.31	578.47	4380.61
1999-00   Q2	848.68	110.25	655.08	121.49	248.04	933.07	645.08	619.59	4178.47
1999-00   Q3	1517.53	103.43	680.28	119.27	262.91	1083.29	682.42	631.20	5074.56
1999-00   Q4	1231.46	114.00	730.57	133.06	293.29	1120.29	716.68	867.59	5211.47
2000-01   Q1	1179.23	106.30	730.94	119.58	284.43	1047.13	688.90	603.23	4755.25
2000-01   Q2	898.95	115.46	744.86	122.84	277.28	1031.22	698.89	688.03	4576.94
2000-01   Q3	1504.17	124.29	780.08	130.48	293.27	1205.03	743.73	701.67	5479.00
2000-01   Q4	1176.47	133.75	822.97	135.55	301.07	1219.27	784.88	916.07	5494.79
2001-02   Q1	1211.97	115.28	777.60	121.46	300.81	1172.41	805.51	663.47	5159.61
2001-02   Q2	967.32	117.46	786.52	127.55	295.33	1161.50	817.94	737.89	5005.55
2001-02   Q3	1659.35	131.56	812.71	136.76	317.34	1325.79	849.41	781.30	6006.90
2001-02   Q4	1312.37	138.21	854.96	138.61	334.08	1340.36	879.56	956.88	5955.73
2002-03   Q1	1253.81	151.21	822.64	143.02	328.91	1276.11	901.75	713.06	5577.69
2002-03   Q2	966.44	154.89	864.29	150.78	334.72	1286.48	929.46	798.82	5476.67
2002-03   Q3	1518.85	169.74	898.30	155.12	353.47	1451.14	956.45	838.21	6331.76
2002-03   Q4	1257.81	182.78	961.36	153.28	378.13	1508.52	997.74	1029.51	6468.35
2003-04   Q1	1302.09	148.50	913.88	150.56	377.75	1429.34	1012.60	805.05	6126.15
2003-04   Q2	1057.92	154.09	961.59	150.85	400.52	1443.80	1034.12	933.03	6128.99
2003-04   Q3	1858.81	172.83	1009.83	159.29	402.92	1707.08	1075.22	905.53	7279.74
2003-04   Q4	1416.20	195.18	1097.11	165.19	437.35	1768.48	1130.12	1034.82	7238.94
2004-05   Q1	1345.72	182.83	1029.44	154.28	534.62	1629.24	1035.57	903.83	6815.52
2004-05   Q2	1113.79	196.66	1103.78	156.71	553.37	1732.51	1061.59	1008.39	6926.82
2004-05   Q3	1749.54	219.15	1160.50	156.03	584.15	1884.41	1113.41	1010.04	7877.23
2004-05   Q4	1445.21	251.64	1238.53	159.73	616.42	2031.03	1161.17	1191.35	8095.07
2005-06   Q1	1432.93	217.58	1225.09	171.02	620.33	1930.35	1162.53	1003.95	7763.78
2005-06   Q2	1218.23	216.25	1256.63	171.24	632.51	2009.45	1200.52	1121.76	7826.59
2005-06   Q3	2035.86	245.58	1315.02	171.54	699.01	2175.10	1243.55	1135.54	9021.21
2005-06   Q4	1690.70	265.21	1419.95	177.26	734.48	2351.17	1324.43	1330.25	9293.44
2006-07   Q1	1614.27	254.51	1442.99	183.82	746.49	2240.74	1372.12	1137.15	8992.10
2006-07   Q2	1365.52	246.08	1527.46	186.42	761.19	2388.43	1431.89	1241.49	9148.49
2006-07   Q3	2290.73	275.55	1606.63	196.00	832.42	2589.65	1490.63	1234.74	10516.36
2006-07   Q4	1959.31	291.72	1771.20	195.28	884.20	2764.97	1571.31	1437.82	10875.81
2007-08   Q1	1897.27	281.27	1705.49	209.44	912.89	2643.13	1640.46	1265.18	10555.13
2007-08   Q2	1568.76	278.97	1753.66	207.76	937.21	2707.21	1685.06	1409.96	10548.59
2007-08   Q3	2721.60	318.56	1836.34	209.28	990.07	2937.97	1739.25	1371.08	12124.14
2007-08   Q4	2177.54	369.32	2031.71	211.82	1048.91	3212.13	1849.88	1691.68	12592.99
2008-09   Q1	2180.83	336.33	2066.50	226.32	1108.60	3231.10	2018.55	1502.06	12670.29
2008-09   Q2	1800.53	338.65	2088.28	226.70	1131.32	3298.32	2104.21	1714.81	12702.82
2008-09   Q3	2938.79	362.26	2027.39	227.82	1103.90	3307.38	2136.57	1864.29	13968.40
2008-09   Q4	2511.90	361.04	2001.05	229.86	1166.51	3271.66	2194.35	1957.79	13694.16
